Resolution,Width,Height,size(MB),time(Seconds),PPI,PPI(Normalized)
800x600,800,600,1.44,16,192.3,0
1280x600,1280,600,2.304,26,271.86,0.093898265
1024x768,1024,768,2.3593,26,246.15,0.063554821
1280x720,1280,720,2.754,31,282.4,0.106337779
1152x864,1152,864,2.986,34,276.9,0.099846571
1360x768,1360,768,3.1334,35,300.36,0.127534521
1366x768,1366,768,3.147,35,301.36,0.128714741
1280x960,1280,960,3.6864,42,307.7,0.136197333
1400x900,1400,900,3.78,43,320.06,0.150784846
1280x1024,1280,1024,3.932,44,315.2,0.145048979
1600x900,1600,900,4.32,49,353,0.189661277
1400x1050,1400,1050,4.41,50,336.54,0.170234864
1680x1050,1680,1050,5.292,60,381,0.222707424
1600x1200,1600,1200,5.76,65,384.6,0.226956214
1920x1080,1920,1080,6.221,71,423.6,0.272984775
1792x1344,1792,1344,7.225,82,430.8,0.281482356
1856x1392,1856,1392,7.75,88,446.15,0.299598725
2560x1600,2560,1600,12.33,140,580.6,0.45827924
2560x2048,2560,2048,15.63,179,630.5,0.517172194
3840x2160,3840,2160,24.883,284,847.3,0.773043786
